id	target	response	HumanPartialFinal	question
706	Functions to extend the foot at the ankle	functions to extend the lower leg at the knee	0	The Gastrocnemius Muscle
707	Functions to extend the thigh at the hip	functions to extend the foot at the lower leg	0	The Gluteus Maximus Muscle
708	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
709	Functions to extend the thigh at the hip	functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
710	Is stimulated by the axillary nerve	stimulated by the humerus nerve	0	The Deltoid Muscle
711	Is stimulated by the radial nerve	Stimulated by the radial nerve	1	The Triceps Muscle
712	Is stimulated by the axillary nerve	stimulated by the axillary nerve 	1	The Deltoid Muscle
713	Functions to extend the thigh at the hip	to extend the thigh 	0.5	The Gluteus Maximus Muscle
714	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
715	Functions to extend the foot at the ankle	to extend the foot at the ankle 	1	The Gastrocnemius Muscle
716	Is stimulated by the tibial nerve	stimulated by the tibial nerve 	1	The Gastrocnemius Muscle
717	Functions to extend the thigh at the hip	to extend the thigh from the hip and the backside of the pelvis 	1	The Gluteus Maximus Muscle
718	Is stimulated by the axillary nerve	axial nerve	0.5	The Deltoid Muscle
719	Is stimulated by the radial nerve	radial nerve	0.5	The Triceps Muscle
720	Is stimulated by the axillary nerve	stimulation of the axillary nerve	0.5	The Deltoid Muscle
721	Is stimulated by the radial nerve	stimulation of the radial nerve	1	The Triceps Muscle
722	Functions to extend the thigh at the hip	to extend the upper leg at the hip	1	The Gluteus Maximus Muscle
723	Is stimulated by the femoral nerve	femours nerve	0	The Quadriceps Muscles
724	Is stimulated by the tibial nerve	tibial nerve	0.5	The Gastrocnemius Muscle
725	Functions to extend the foot at the ankle	to extend the foot at the ankle	1	The Gastrocnemius Muscle
726	Functions to extend the thigh at the hip	to extend the thight at the hip	1	The Gluteus Maximus Muscle
727	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
728	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
729	Is stimulated by the axillary nerve	innveration is via the axillary nerve	0.5	The Deltoid Muscle
730	Is stimulated by the radial nerve	innvervation is via the radial nerve	0.5	The Triceps Muscle
731	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
732	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
733	Functions to extend the thigh at the hip	extends the thigh away from the hip	1	The Gluteus Maximus Muscle
734	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
735	Functions to extend the foot at the ankle	extend the foot at the ankle	1	The Gastrocnemius Muscle
736	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
737	Is stimulated by the axillary nerve	Stigmata Nerve.	0	The Deltoid Muscle
738	Is stimulated by the radial nerve	Radial Nerve.	0.5	The Triceps Muscle
739	Is stimulated by the axillary nerve	Is stimulated by the Rattata nerve.	0	The Deltoid Muscle
740	Is stimulated by the radial nerve	It is stimulated by the radial nerve.	1	The Triceps Muscle
741	Is stimulated by the axillary nerve	It is stimulated by the axillary nerve.	1	The Deltoid Muscle
742	Functions to extend the thigh at the hip	To extend the leg at the knee.	0	The Gluteus Maximus Muscle
743	Is stimulated by the femoral nerve	Stimulated by the enconomy.	0	The Quadriceps Muscles
744	Functions to extend the foot at the ankle	To extend the foot at the ankle.	1	The Gastrocnemius Muscle
745	Is stimulated by the tibial nerve	Is stimulated by the humery nerve.	0	The Gastrocnemius Muscle
746	Functions to extend the thigh at the hip	To extend the thigh at the hip.	1	The Gluteus Maximus Muscle
747	Is stimulated by the femoral nerve	Powered by the gluteal nerve.	0	The Quadriceps Muscles
748	Is stimulated by the tibial nerve	Inerval nerve.	0	The Gastrocnemius Muscle
749	Is stimulated by the femoral nerve	Is stimulated by the radial nerves.	0	The Quadriceps Muscles
750	Is stimulated by the tibial nerve	Is stimulated by the inferior gluteal nerve.	0	The Gastrocnemius Muscle
751	Is stimulated by the femoral nerve	Is stimulated by the elecrical nerve.	0	The Quadriceps Muscles
752	Is stimulated by the tibial nerve	Is stimulated by the ventricle shockwave.	0	The Gastrocnemius Muscle
753	Is stimulated by the femoral nerve	Is stimulated by the femoral nerve.	1	The Quadriceps Muscles
754	Is stimulated by the tibial nerve	Stimulted by the nervatum nerve.	0	The Gastrocnemius Muscle
755	Is stimulated by the tibial nerve	Stimulated by the tibial nerve.	1	The Gastrocnemius Muscle
756	Is stimulated by the axillary nerve	empty	0	The Deltoid Muscle
757	Is stimulated by the radial nerve	empty	0	The Triceps Muscle
758	Is stimulated by the axillary nerve	Stimulated by the axillary nerve	1	The Deltoid Muscle
759	Is stimulated by the radial nerve	Stimulated by the radial nerve	1	The Triceps Muscle
760	Functions to extend the thigh at the hip	Extend the thigh from the hip	1	The Gluteus Maximus Muscle
761	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
762	Functions to extend the foot at the ankle	Extend foot from ankle	1	The Gastrocnemius Muscle
763	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
764	Is stimulated by the femoral nerve	Stimulated by the nerve	0	The Quadriceps Muscles
765	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
766	Is stimulated by the femoral nerve	Stimulated by the femoral nerve 	1	The Quadriceps Muscles
767	Is stimulated by the tibial nerve	Stimulated by the tibial nerve	1	The Gastrocnemius Muscle
768	Is stimulated by the axillary nerve	empty	0	The Deltoid Muscle
769	Is stimulated by the radial nerve	The radial nerve.	0.5	The Triceps Muscle
770	Is stimulated by the axillary nerve	By the axillary nerve.	0.5	The Deltoid Muscle
771	Is stimulated by the radial nerve	Is stimulated by the radial nerve.	1	The Triceps Muscle
772	Is stimulated by the axillary nerve	Is stimulated by the axillary nerve.	1	The Deltoid Muscle
773	Functions to extend the thigh at the hip	Function to extend the thigh to the upper of the leg.	0.5	The Gluteus Maximus Muscle
774	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
775	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
776	Functions to extend the foot at the ankle	empty	0	The Gastrocnemius Muscle
777	Functions to extend the thigh at the hip	Function the control the thigh to the hip.	0.5	The Gluteus Maximus Muscle
778	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
779	Functions to extend the foot at the ankle	empty	0	The Gastrocnemius Muscle
780	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
781	Functions to extend the thigh at the hip	To extend he thigh at the hip.	1	The Gluteus Maximus Muscle
782	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
783	Functions to extend the foot at the ankle	empty	0	The Gastrocnemius Muscle
784	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
785	Is stimulated by the femoral nerve	Is stimulated by the femoral nerve.	1	The Quadriceps Muscles
786	Functions to extend the foot at the ankle	empty	0	The Gastrocnemius Muscle
787	Is stimulated by the tibial nerve	empty	0	The Gastrocnemius Muscle
788	Is stimulated by the tibial nerve	Is stimul	0	The Gastrocnemius Muscle
789	Functions to extend the foot at the ankle	To extend the foot at the ankle.	1	The Gastrocnemius Muscle
790	Is stimulated by the tibial nerve	Is stimulated by the tibial nerve.	1	The Gastrocnemius Muscle
791	Is stimulated by the axillary nerve	axillary nerve	0.5	The Deltoid Muscle
792	Is stimulated by the radial nerve	radial nerve	0.5	The Triceps Muscle
793	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
794	Is stimulated by the radial nerve	stimulated by radial nerve	1	The Triceps Muscle
795	Functions to extend the thigh at the hip	Functions to extend the thigh 	0.5	The Gluteus Maximus Muscle
796	Is stimulated by the femoral nerve	stimulated by the anterior femoral nerve	1	The Quadriceps Muscles
797	Functions to extend the foot at the ankle	"Connects the lower leg at the heel, functions in bending the foot"	0.5	The Gastrocnemius Muscle
798	Is stimulated by the tibial nerve	Stimulated by the tibial nerve	1	The Gastrocnemius Muscle
799	Functions to extend the thigh at the hip	Functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
800	Functions to extend the foot at the ankle	Functions to bend the foot at the ankle	1	The Gastrocnemius Muscle
801	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
802	Is stimulated by the axillary nerve	Stimulated by the axillery nerve.	1	The Deltoid Muscle
803	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
804	Functions to extend the thigh at the hip	functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
805	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
806	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
807	Functions to extend the foot at the ankle	functions to extend the foot at the heel	1	The Gastrocnemius Muscle
808	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
809	Is stimulated by the axillary nerve	Stimulated by the auxillary nerve	1	The Deltoid Muscle
810	Is stimulated by the radial nerve	Stimulated by the radial nerve	1	The Triceps Muscle
811	Functions to extend the thigh at the hip	Functions to extend the leg at the hip	0.5	The Gluteus Maximus Muscle
812	Is stimulated by the femoral nerve	Stimulated by the femoral nerve	1	The Quadriceps Muscles
813	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
814	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
815	Functions to extend the thigh at the hip	Functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
816	Is stimulated by the axillary nerve	Axillary nerve	0.5	The Deltoid Muscle
817	Is stimulated by the radial nerve	Radial nerve	0.5	The Triceps Muscle
818	Is stimulated by the axillary nerve	Stimulated by the axillary nerve.	1	The Deltoid Muscle
819	Is stimulated by the radial nerve	Stimulated by the radial nerve.	1	The Triceps Muscle
820	Functions to extend the thigh at the hip	Function to extend the leg to the side at the hip	0.5	The Gluteus Maximus Muscle
821	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
822	Functions to extend the foot at the ankle	Functions to 	0	The Gastrocnemius Muscle
823	Is stimulated by the tibial nerve	Stimulated by the tibial nerve	1	The Gastrocnemius Muscle
824	Functions to extend the thigh at the hip	Functions to extend the leg at the hip pelvis thigh side	0	The Gluteus Maximus Muscle
825	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
826	Functions to extend the foot at the ankle	Functions to extend the foot and the ankle	0.5	The Gastrocnemius Muscle
827	Is stimulated by the femoral nerve	Stimulated by the femoral nerve.	1	The Quadriceps Muscles
828	Is stimulated by the axillary nerve	The axillary Nerve makes the Deltoid muscle work	0.5	The Deltoid Muscle
829	Is stimulated by the radial nerve	the Brachial nerve stimulates the Tricep Muscle	0	The Triceps Muscle
830	Is stimulated by the radial nerve	it is stimulated by the radial nerve	1	The Triceps Muscle
831	Functions to extend the thigh at the hip	functions to move the thigh away from the hip when flexed	1	The Gluteus Maximus Muscle
832	Is stimulated by the femoral nerve	is stimulated by the radial nerve	0	The Quadriceps Muscles
833	Is stimulated by the tibial nerve	it is stimulated by the tibial nerve	1	The Gastrocnemius Muscle
834	Functions to extend the foot at the ankle	to move the foot away from the lower leg whn flexed	0	The Gastrocnemius Muscle
835	Functions to extend the thigh at the hip	to extend the thigh at the hip	1	The Gluteus Maximus Muscle
836	Is stimulated by the femoral nerve	stimulated by the femoral neerve	1	The Quadriceps Muscles
837	Functions to extend the foot at the ankle	to extend the foot past the ankle	0.5	The Gastrocnemius Muscle
838	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
839	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
840	Is stimulated by the radial nerve	the radial nerve	0.5	The Triceps Muscle
841	Is stimulated by the radial nerve	stimulated by the axillary nerve	0	The Triceps Muscle
842	Is stimulated by the radial nerve	it is stimulated by the radial nerve	1	The Triceps Muscle
843	Functions to extend the thigh at the hip	to extend the thigh at the hip	1	The Gluteus Maximus Muscle
844	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
845	Functions to extend the foot at the ankle	to extend the ankle at the heel	0	The Gastrocnemius Muscle
846	Is stimulated by the tibial nerve	it is stimulated by the something nerve	0	The Gastrocnemius Muscle
847	Functions to extend the foot at the ankle	to extend the foot at the ankle	1	The Gastrocnemius Muscle
848	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
849	Functions to extend the lower arm at the elbow	To move the arm at the elbow.	0.5	The Triceps Muscle
850	Is stimulated by the median and ulnar nerves	The medial and ulnar nerves.	0.5	The Digital Flexor Muscles
851	Functions to extend the lower arm at the elbow	To move the lower part of the arm downward at the elbow.	1	The Triceps Muscle
852	Is stimulated by the median and ulnar nerves	Is stimulated by the medial and ulnar nerves.	1	The Digital Flexor Muscles
853	Functions to extend the lower arm at the elbow	To move the forearm away at the elbow. 	1	The Triceps Muscle
854	Is stimulated by the median and ulnar nerves	Is stimulated by the axillary nerve.	0	The Digital Flexor Muscles
855	Functions to extend the lower arm at the elbow	Connects the upper arm to the lower arm. 	0	The Triceps Muscle
856	Is stimulated by the inferior gluteal nerve	Is stimulated by the internal gluteal nerve.	0.5	The Gluteus Maximus Muscle
857	Functions to extend the lower leg at the knee	Functions to extend the lower leg at the knee.	1	The Quadriceps Muscles
858	Is stimulated by the inferior gluteal nerve	Is stimulated by the internal gluteal nerve. 	0.5	The Gluteus Maximus Muscle
859	Functions to extend the lower leg at the knee	Function to move the lower leg.	0.5	The Quadriceps Muscles
860	Is stimulated by the inferior gluteal nerve	Is stimulated by the internal gluteal nerve. 	0.5	The Gluteus Maximus Muscle
861	Functions to extend the lower leg at the knee	Functions to extend the lower leg. 	0.5	The Quadriceps Muscles
862	Functions to extend the lower arm at the elbow	extend lower arm towards and away upper arm	0.5	The Triceps Muscle
863	Is stimulated by the median and ulnar nerves	axial	0	The Digital Flexor Muscles
864	Functions to extend the lower arm at the elbow	extends lower arm away from upper arm	0.5	The Triceps Muscle
865	Is stimulated by the median and ulnar nerves	stimulated by the modal nerve	0	The Digital Flexor Muscles
866	Functions to extend the lower arm at the elbow	extend the lower arm away from the upper arm	0.5	The Triceps Muscle
867	Is stimulated by the median and ulnar nerves	stimulated by ulner and modal nerves	0.5	The Digital Flexor Muscles
868	Is stimulated by the median and ulnar nerves	stimulated by the ulner and modal nerves	0.5	The Digital Flexor Muscles
869	Is stimulated by the median and ulnar nerves	stimulated by the ulner and modal nerves	0.5	The Digital Flexor Muscles
870	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
871	Functions to extend the lower leg at the knee	functions to extend lower leg from the kneecap	1	The Quadriceps Muscles
872	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
873	Functions to extend the lower leg at the knee	functions to extend the lower leg at the kneecap	1	The Quadriceps Muscles
874	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
875	Functions to extend the lower leg at the knee	functions to extend the lower leg away from the kneecap	1	The Quadriceps Muscles
876	Functions to extend the lower arm at the elbow	empty	0	The Triceps Muscle
877	Is stimulated by the median and ulnar nerves	To stimulate the median and ulranus	0	The Digital Flexor Muscles
878	Functions to extend the lower arm at the elbow	Function together to flex the fingers at a fist	0	The Triceps Muscle
879	Is stimulated by the median and ulnar nerves	It is 	0	The Digital Flexor Muscles
880	Functions to extend the lower arm at the elbow	Functions together to flex the fingers in a formation of a fist	0	The Triceps Muscle
881	Is stimulated by the median and ulnar nerves	Stimulated by the midian and ulcerus	0	The Digital Flexor Muscles
882	Functions to extend the lower arm at the elbow	To flex the forearm away from the upper arm at the shoulder	0.5	The Triceps Muscle
883	Functions to extend the lower arm at the elbow	Functions to flex the lower arm away from the upper arm at the elbow	1	The Triceps Muscle
884	Functions to extend the lower arm at the elbow	Functions to flex the lower arm away from the upper arm at the elbow	1	The Triceps Muscle
885	Functions to extend the lower arm at the elbow	Functions to flex the lower arm away from the upper arm at the elbow	1	The Triceps Muscle
886	Is stimulated by the inferior gluteal nerve	Stimulated by the inferior gluttal nerve	1	The Gluteus Maximus Muscle
887	Functions to extend the lower leg at the knee	Functions to 	0	The Quadriceps Muscles
888	Is stimulated by the inferior gluteal nerve	Stimulated the lower glutteal nerves	0.5	The Gluteus Maximus Muscle
889	Functions to extend the lower leg at the knee	Functions to extend the lower leg from the upper leg	0.5	The Quadriceps Muscles
890	Is stimulated by the inferior gluteal nerve	Stimulated by the lower glutteal nerves	0.5	The Gluteus Maximus Muscle
891	Functions to extend the lower leg at the knee	Functions to flex the upper leg at the kneecap	0	The Quadriceps Muscles
892	Functions to extend the lower leg at the knee	Functions to flex the upper leg at the kneecap	0	The Quadriceps Muscles
893	Functions to extend the lower arm at the elbow	to extend the arm at the elbow	0.5	The Triceps Muscle
894	Is stimulated by the median and ulnar nerves	the median and radial nerves	0.5	The Digital Flexor Muscles
895	Functions to extend the lower arm at the elbow	is to extend the arm at the elbow	0.5	The Triceps Muscle
896	Is stimulated by the median and ulnar nerves	is stimulated by the median and ulnar nerve	1	The Digital Flexor Muscles
897	Functions to extend the lower arm at the elbow	function is mainly to extend the arm at the elbow	0.5	The Triceps Muscle
898	Is stimulated by the median and ulnar nerves	is stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
899	Is stimulated by the median and ulnar nerves	stimulated by the median and ulnar nerve	1	The Digital Flexor Muscles
900	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
901	Functions to extend the lower leg at the knee	is to extend the lower leg at the knee	1	The Quadriceps Muscles
902	Is stimulated by the inferior gluteal nerve	is stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
903	Functions to extend the lower leg at the knee	main function is to extend the lower leg at the kneecap	1	The Quadriceps Muscles
904	Is stimulated by the inferior gluteal nerve	is stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
905	Functions to extend the lower leg at the knee	main function is to extend to lower leg at the kneecap	1	The Quadriceps Muscles
906	Functions to extend the lower arm at the elbow	to move the arm from the elbow and down	0.5	The Triceps Muscle
907	Is stimulated by the median and ulnar nerves	"it is activated by two nerves, the mula, and one other one i dont quite remember"	0	The Digital Flexor Muscles
908	Functions to extend the lower arm at the elbow	function to extend the lower arm away form the body at the elbow	1	The Triceps Muscle
909	Is stimulated by the median and ulnar nerves	is triggered by two nerves the median and  another one that starts with u	0.5	The Digital Flexor Muscles
910	Functions to extend the lower arm at the elbow	is the the back of your arm and connects your upper arm to a bone in your lower arm	0	The Triceps Muscle
911	Is stimulated by the median and ulnar nerves	"is stimulated by two nerves, the median and the ulnar"	1	The Digital Flexor Muscles
912	Functions to extend the lower arm at the elbow	to move the arm away form the body at the elbow	0.5	The Triceps Muscle
913	Is stimulated by the median and ulnar nerves	"is triggered by two nerves, the median and the ulnar"	1	The Digital Flexor Muscles
914	Is stimulated by the median and ulnar nerves	is caused by the median nerve and the ulnar nerve	1	The Digital Flexor Muscles
915	Is stimulated by the inferior gluteal nerve	is casued by the inferior gluteal nerve	0.5	The Gluteus Maximus Muscle
916	Functions to extend the lower leg at the knee	empty	0	The Quadriceps Muscles
917	Is stimulated by the inferior gluteal nerve	it is stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
918	Functions to extend the lower leg at the knee	functions to extend the leg at the knee cap	0.5	The Quadriceps Muscles
919	Is stimulated by the inferior gluteal nerve	is stiumulated by the infeior gluteal nerve	1	The Gluteus Maximus Muscle
920	Functions to extend the lower leg at the knee	functions to extend the lower leg at the knee cap	1	The Quadriceps Muscles
921	Functions to extend the lower leg at the knee	to extend the lower leg away from the body at the knee	1	The Quadriceps Muscles
922	Functions to extend the lower arm at the elbow	to move the lower arm down	0.5	The Triceps Muscle
923	Is stimulated by the median and ulnar nerves	ulnar nerve	0.5	The Digital Flexor Muscles
924	Functions to extend the lower arm at the elbow	funtion to move the lower arm after the elbow down	1	The Triceps Muscle
925	Is stimulated by the median and ulnar nerves	stimulated by the ulnar and axial nerve	0.5	The Digital Flexor Muscles
926	Functions to extend the lower arm at the elbow	to move the lower arm down	0.5	The Triceps Muscle
927	Is stimulated by the median and ulnar nerves	stimulated by the ulnar nerve	0.5	The Digital Flexor Muscles
928	Functions to extend the lower arm at the elbow	functions to move the lower arm down	0.5	The Triceps Muscle
929	Is stimulated by the median and ulnar nerves	stimulated by the ulnar nerve	0.5	The Digital Flexor Muscles
930	Is stimulated by the inferior gluteal nerve	is stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
931	Functions to extend the lower leg at the knee	To extend the lower leg at the knee	1	The Quadriceps Muscles
932	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
933	Functions to extend the lower leg at the knee	to extend the lower leg at the knee	1	The Quadriceps Muscles
934	Is stimulated by the inferior gluteal nerve	stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
935	Functions to extend the lower leg at the knee	to extend the lower leg at the knee	1	The Quadriceps Muscles
936	Functions to extend the lower arm at the elbow	on the back of the upper arm	0	The Triceps Muscle
937	Is stimulated by the median and ulnar nerves	stimulated by the ultra and medial nerves	0.5	The Digital Flexor Muscles
938	Functions to extend the lower arm at the elbow	extend arm at elbow	0.5	The Triceps Muscle
939	Is stimulated by the median and ulnar nerves	empty	0	The Digital Flexor Muscles
940	Functions to extend the lower arm at the elbow	to extend the arm at the elbow	0.5	The Triceps Muscle
941	Is stimulated by the median and ulnar nerves	stimulated by the ultra and medial nerves	0.5	The Digital Flexor Muscles
942	Functions to extend the lower arm at the elbow	function together to flex the fingers in the formation of a fist	0	The Triceps Muscle
943	Is stimulated by the inferior gluteal nerve	stimulated by the inferior glutal nerve	1	The Gluteus Maximus Muscle
944	Functions to extend the lower leg at the knee	to extend the lower leg	0.5	The Quadriceps Muscles
945	Is stimulated by the inferior gluteal nerve	stimulated by inferior glutal nerve	1	The Gluteus Maximus Muscle
946	Functions to extend the lower leg at the knee	to extend the lower leg	0.5	The Quadriceps Muscles
947	Is stimulated by the inferior gluteal nerve	stimulated by inferior gutal nerve	1	The Gluteus Maximus Muscle
948	Functions to extend the lower leg at the knee	to extend lower leg	0.5	The Quadriceps Muscles
949	Functions to extend the lower arm at the elbow	To extend the forearm	0.5	The Triceps Muscle
950	Is stimulated by the median and ulnar nerves	Radial and Ulnar nerves	0.5	The Digital Flexor Muscles
951	Functions to extend the lower arm at the elbow	To extend the forearm at the elbow	1	The Triceps Muscle
952	Is stimulated by the median and ulnar nerves	It is stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
953	Functions to extend the lower arm at the elbow	Function to extend the lower arm at the elbow	1	The Triceps Muscle
954	Is stimulated by the median and ulnar nerves	Stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
955	Functions to extend the lower arm at the elbow	Function to extend the lower arm at the elbow	1	The Triceps Muscle
956	Is stimulated by the median and ulnar nerves	Stimulated by the median and ulnar nerves	1	The Digital Flexor Muscles
957	Functions to extend the lower arm at the elbow	Function to extend the lower arm at the elbow	1	The Triceps Muscle
958	Is stimulated by the inferior gluteal nerve	Stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
959	Functions to extend the lower leg at the knee	Function to extend the lower leg at the kneecap	1	The Quadriceps Muscles
960	Is stimulated by the inferior gluteal nerve	Is stimulated by the femoral nerve	0	The Gluteus Maximus Muscle
961	Functions to extend the lower leg at the knee	Function to extend the lower leg at the kneecap	1	The Quadriceps Muscles
962	Is stimulated by the inferior gluteal nerve	Stimulated by the inferior gluteal nerve	1	The Gluteus Maximus Muscle
963	Functions to extend the lower leg at the knee	Function to extend the lower leg at the kneecap	1	The Quadriceps Muscles
964	Functions to extend the lower arm at the elbow	It allows for arm movement around the elbow region.	0.5	The Triceps Muscle
965	Is stimulated by the median and ulnar nerves	It is stimulated by the median and ulnar nerves.	1	The Digital Flexor Muscles
966	Functions to extend the lower arm at the elbow	It allows for the lower arm to move from the elbow.	1	The Triceps Muscle
967	Is stimulated by the median and ulnar nerves	It is stimulated by the median and ulnar neves.	1	The Digital Flexor Muscles
968	Functions to extend the lower arm at the elbow	It allows for movement of the lower arm from the elbow.	1	The Triceps Muscle
969	Is stimulated by the median and ulnar nerves	It is stimulated by the median and ulnar nerves.	1	The Digital Flexor Muscles
970	Functions to extend the lower arm at the elbow	It allows movement of the lower arm from the elbow.	1	The Triceps Muscle
971	Is stimulated by the inferior gluteal nerve	Stimulated by the inferior glutial nerve.	1	The Gluteus Maximus Muscle
972	Functions to extend the lower leg at the knee	Connects the upper leg to the knee and connects another bone in the lower leg.	0	The Quadriceps Muscles
973	Is stimulated by the inferior gluteal nerve	Stimulated by the inferior glutial nerves.	1	The Gluteus Maximus Muscle
974	Functions to extend the lower leg at the knee	Allows for movement of the upper leg.	0	The Quadriceps Muscles
975	Is stimulated by the inferior gluteal nerve	Stimulated by the inferior glutial nerves.	1	The Gluteus Maximus Muscle
976	Functions to extend the lower leg at the knee	Function to allow movement of the upper leg.	0	The Quadriceps Muscles
977	Functions to extend the lower arm at the elbow	allows the upper arm to move	0	The Triceps Muscle
978	Is stimulated by the median and ulnar nerves	i don't remember	0	The Digital Flexor Muscles
979	Functions to extend the lower arm at the elbow	allows the elbow to move	0	The Triceps Muscle
980	Is stimulated by the median and ulnar nerves	ulnar or median nerve	0.5	The Digital Flexor Muscles
981	Functions to extend the lower arm at the elbow	allows the elbow to bend 	0	The Triceps Muscle
982	Is stimulated by the median and ulnar nerves	stimulation of ulnar nerve	0.5	The Digital Flexor Muscles
983	Functions to extend the lower arm at the elbow	allows lower part of the arm to extend at the elbow	1	The Triceps Muscle
984	Is stimulated by the median and ulnar nerves	stimulated by the ulnar or median nerve	1	The Digital Flexor Muscles
985	Functions to extend the lower arm at the elbow	allows the lower part of the arm to be extended at the elbows	1	The Triceps Muscle
986	Functions to extend the lower arm at the elbow	allows the lower part of the arm to extend at the elbow	1	The Triceps Muscle
987	Is stimulated by the inferior gluteal nerve	stimulated by the glutieal nerve	0.5	The Gluteus Maximus Muscle
988	Functions to extend the lower leg at the knee	allows the upper thigh to move	0	The Quadriceps Muscles
989	Is stimulated by the inferior gluteal nerve	stimulated by the gluteal nerve	0.5	The Gluteus Maximus Muscle
990	Functions to extend the lower leg at the knee	allows the lower part of the leg to extend at the kneecaps	1	The Quadriceps Muscles
991	Is stimulated by the inferior gluteal nerve	stimulated by gluteal nerve	0.5	The Gluteus Maximus Muscle
992	Functions to extend the lower leg at the knee	allows the lower part of the leg to extend	0.5	The Quadriceps Muscles
993	Functions to extend the lower leg at the knee	allows to extend the lower part of leg	0.5	The Quadriceps Muscles
994	Functions to extend the lower arm at the elbow	helps in elbow movement	0	The Triceps Muscle
995	Is stimulated by the median and ulnar nerves	These muscles are stimulated by the ulnar nerves	0.5	The Digital Flexor Muscles
996	Functions to extend the lower arm at the elbow	To help extend the muscles of the lower arm and elbow	0.5	The Triceps Muscle
997	Is stimulated by the median and ulnar nerves	the digital flexor muscles are stimulated by the ulnar nerve	0.5	The Digital Flexor Muscles
998	Functions to extend the lower arm at the elbow	The triceps muscle works to extend the lower arm away from the upper arm through the elbow	1	The Triceps Muscle
999	Is stimulated by the median and ulnar nerves	stimulated by ulnar nerves	0.5	The Digital Flexor Muscles
1000	Functions to extend the lower arm at the elbow	the function is to aid in the movement of the stretch or the upper arm away from the elbow	0	The Triceps Muscle
1001	Is stimulated by the inferior gluteal nerve	stimulated by inferior gluteal nerve	1	The Gluteus Maximus Muscle
